name,education_level
Information Science,Bachelor's Degree
Information Systems,Bachelor's Degree
Information Technology,Bachelor's Degree
Interior Architecture,Bachelor's Degree
Interior Design,Bachelor's Degree
International Business,Bachelor's Degree
International Relations,Bachelor's Degree
Italian Studies,Bachelor's Degree
Japanese Studies,Bachelor's Degree
Journalism,Bachelor's Degree
Kinesiology,Bachelor's Degree
Landscape Architecture,Bachelor's Degree
Latin American Studies,Bachelor's Degree
Law,Bachelor's Degree
Linguistics,Bachelor's Degree
Logistics and Supply Chain Management,Bachelor's Degree
Management,Bachelor's Degree
Management Information Systems,Bachelor's Degree
Marine Biology,Bachelor's Degree
Marketing,Bachelor's Degree
Mass Communication,Bachelor's Degree
Materials Science,Bachelor's Degree
Mathematics,Bachelor's Degree
Mechanical Engineering,Bachelor's Degree
Media Studies,Bachelor's Degree
Medical Laboratory Science,Bachelor's Degree
Microbiology,Bachelor's Degree
Middle Eastern Studies,Bachelor's Degree
Molecular Biology,Bachelor's Degree
Music,Bachelor's Degree
Music Education,Bachelor's Degree
Music Performance,Bachelor's Degree
Neuroscience,Bachelor's Degree
Nursing,Bachelor's Degree
Nutrition,Bachelor's Degree
Operations Management,Bachelor's Degree
Petroleum Engineering,Bachelor's Degree
Pharmacy,Bachelor's Degree
Philosophy,Bachelor's Degree
Photography,Bachelor's Degree
Physical Education,Bachelor's Degree
Physical Therapy,Bachelor's Degree
Physics,Bachelor's Degree
Physiology,Bachelor's Degree
Political Science,Bachelor's Degree
Product Design,Bachelor's Degree
Project Management,Bachelor's Degree
Psychology,Bachelor's Degree
Public Health,Bachelor's Degree
Public Policy,Bachelor's Degree
Public Relations,Bachelor's Degree
Radiologic Sciences,Bachelor's Degree
Real Estate,Bachelor's Degree
Recreation and Leisure Studies,Bachelor's Degree
Religious Studies,Bachelor's Degree
Social Work,Bachelor's Degree
Sociology,Bachelor's Degree
Software Engineering,Bachelor's Degree
Spanish,Bachelor's Degree
Special Education,Bachelor's Degree
Speech-Language Pathology,Bachelor's Degree
Sports Management,Bachelor's Degree
Statistics,Bachelor's Degree
Studio Art,Bachelor's Degree
Systems Engineering,Bachelor's Degree
